Date,Temperature_inside,Humidity_inside,Temperature_outside,Humidity_outside,Radiation_inside,Radiation_outside,Wind_speed_outside,Vent_S1_Roof_1,Vent_S1_Roof_2,Vent_S1_Roof_3,Vent_S1_Side_NW,Vent_S1_Side_S,Vent_S1_Side_N,Vent_S1_Side_SW,Vent_S2_Roof_1,Vent_S2_Roof_2,Vent_S2_Roof_3,Vent_S2_Side_E,Vent_S2_Side_S,Vent_S2_Side_N
2025-11-19 12:34:08,25.19,46.97,17.53,67.38,121.62,600,5.45,0,0,0,46.5,53.81,100,50.08,0,0,0,50.5,54.43,51.16
2025-11-19 12:34:39,25.52,46.21,17.29,66.56,128.5,608,6.85,0,0,0,51.25,57.54,100,54.52,0,0,0,54.25,58.11,55.35
2025-11-19 12:35:09,26.09,44.64,17.31,67.28,176.62,604,9.74,0,0,0,62.5,67.43,100,64.82,0,0,0,64,67.72,67.41
2025-11-19 12:35:40,25.89,45.22,17.59,68.5,182.25,604,7.66,0,0,0,74,77.08,100,75.12,0,0,0,74,77.62,78.78
2025-11-19 12:36:11,26.09,44.28,17.6,66.59,145,608,6.74,0,0,0,85.5,86.56,100,85.48,0,0,0,84,87.53,90.62
2025-11-19 12:36:42,26.17,42.84,17.49,68.28,225.25,608,2.85,0,0,0,92,96.82,100,95.73,0,0,0,93.5,97.39,100.49
2025-11-19 12:37:12,26.28,44.28,17.72,68.12,139,604,7,0,0,0,92,100.32,100,100,0,0,0,100,100,100
2025-11-19 12:37:43,26.81,41.78,17.8,69.09,176.75,604,12.68,0,0,0,92,100.31,100,100,0,0,0,100,100,100
2025-11-19 12:38:14,26.3,42.45,17.81,67.59,139.62,608,9.55,0,0,0,92,100.32,100,100,0,0,0,100,100,100
2025-11-19 12:38:45,25.72,44.2,17.73,66.84,176.75,608,6.75,0,0,0,92,100.32,100,100,0,0,0,100,100,100
2025-11-19 12:39:16,25.14,46.01,17.56,67.63,139,600,8.76,0,0,0,92,100.32,100,100,0,0,0,100,100,100
2025-11-19 12:39:46,25.19,46.61,17.56,68.12,164,592,8.71,0,0,0,92,100.32,100,100,0,0,0,100,100,100
2025-11-19 12:40:17,25.06,46.79,17.62,68.47,182.5,600,11.02,0,0,0,92,100.32,100,100,0,0,0,100,100,100
2025-11-19 12:40:48,25.33,45.8,17.44,67.56,176.25,600,10.66,0,0,0,92,100.32,100,100,0,0,0,100,100,100
2025-11-19 12:41:19,25.19,46.37,17.37,68.34,182.75,592,8.33,0,0,0,92,100.32,100,100,0,0,0,100,100,100
2025-11-19 12:41:50,25.12,46.51,17.3,69.81,139.75,588,10.21,0,0,0,92,100.32,100,100,0,0,0,100,100,100
2025-11-19 12:42:20,25.06,46.64,17.61,70.16,132.75,596,4.43,0,0,0,92,100.29,100,100,0,0,0,100,100,100
2025-11-19 12:42:51,25.19,46.52,17.74,68.84,170.5,592,7.61,0,0,0,92,100.34,100,100,0,0,0,100,100,100
2025-11-19 12:43:22,25,46.93,17.59,67.81,225.12,600,9.48,0,0,0,92,100.32,100,100,0,0,0,100,100,100
