,Temperature_inside,Humidity_inside,Temperature_outside,Humidity_outside,Radiation_inside,Radiation_outside,Wind_speed_outside,Vent_S1_Roof_1,Vent_S1_Roof_2,Vent_S1_Roof_3,Vent_S1_Side_NW,Vent_S1_Side_S,Vent_S1_Side_N,Vent_S1_Side_SW,Vent_S2_Roof_1,Vent_S2_Roof_2,Vent_S2_Roof_3,Vent_S2_Side_E,Vent_S2_Side_S,Vent_S2_Side_N
2025-06-09 08:46:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:47:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:47:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:48:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:48:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:49:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:49:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:50:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:50:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:51:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:51:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:52:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:52:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:53:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:53:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:54:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:54:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:55:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:55:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:56:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:56:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:57:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:57:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:58:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:58:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:59:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 08:59:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 09:00:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 09:00:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 09:01:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 09:01:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 09:02:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 09:02:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 09:03:00,,,,,,,,,,,,,,,,,,,,
2025-06-09 09:03:30,,,,,,,,,,,,,,,,,,,,
2025-06-09 09:04:00,,,,,,,,,,,,,,,,,,,,
